,,,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max
m,  G10,2,8.71674,14.1372,1588,9.34524,7.98607,65
m,  G11,2,7.59874,10.6244,1029,8.18979,6.25876,58
m,  H08,2,10.0183,14.2424,1383,10.6938,9.62359,89
m,  H09,2,8.64495,11.2329,1015,9.31388,7.65616,68
m,  H10,2,7.55709,9.28504,814,8.03578,6.37595,51
m,  H11,2,7.61188,8.47229,635,8.05364,6.19983,51
m,  D07,2,8.51432,27.557,3903,8.88318,7.52521,105
m,  E07,2,8.65475,22.7956,3214,9.18504,7.70919,105
m,  F07,2,15.8684,24.2667,2228,17.1294,17.4056,122
m,  G07,2,16.621,31.4599,4039,18.3073,19.7413,149
m,  H07,2,5.6788,8.08485,948,6.00944,4.29218,46
m,  A08,2,9.5268,15.3212,1518,10.2457,9.03578,93
m,  B08,2,6.77375,7.41178,656,7.19664,5.24265,56
m,  C08,2,6.98112,8.52815,684,7.47538,5.61384,54
m,  D08,2,23.6271,42.1869,4227,26.2027,30.4641,258
m,  E08,2,11.4793,17.1566,1316,12.3849,11.5792,98
m,,3,9.72004,10.7912,808,10.4652,6.71234,63
m,,3,21.0355,30.321,2420,22.9976,20.2006,158
m,,3,11.9765,14.0044,1112,12.8312,9.38035,79
m,,3,10.2765,10.8123,973,11.0985,7.25283,75
m,,3,9.78176,11.1866,883,10.506,6.93579,78
m,,3,10.9563,15.2765,1546,11.7429,8.30943,75
m,,3,12.1372,14.4182,1140,13.0884,9.30684,86
m,,3,15.8887,20.4284,1743,17.1986,13.7894,160
m,,3,9.45173,10.6521,887,10.1251,6.59858,67
m,,3,13.046,15.9891,1188,14.045,10.633,107
m,,3,11.8841,14.5596,1181,12.8446,9.27795,81
m,,3,8.61922,9.23339,693,9.24629,5.75881,55
m,,3,10.1374,12.0886,1024,10.9378,7.39398,84
m,,3,8.45744,9.13293,646,9.0365,5.61865,59
m,,3,8.08649,10.7537,917,8.5077,5.23821,57
m,,3,17.7784,27.2993,2738,19.2066,15.9499,152
m,,3,14.7997,18.244,1464,15.884,12.565,102
m,,3,12.8924,14.3509,1176,13.8876,10.2583,88
m,,3,9.04205,12.8014,1390,9.66611,5.98869,84
m,,3,15.4489,20.4882,1449,16.2965,12.6396,127
m,,3,11.3305,13.341,1041,12.263,8.54368,92
m,,3,8.05684,7.49251,614,8.64811,5.10518,53
m,,3,13.6466,17.5909,1471,14.7844,10.7642,93
m,,3,9.89424,15.7546,1387,10.5022,6.95867,95
m,,3,15.0997,19.4815,1646,16.2522,12.9412,114
m,,3,11.3409,13.8159,1117,12.1809,8.63111,85
m,,3,16.1097,21.7485,1542,17.3849,13.9446,131
m,,3,13.9152,19.6372,1567,15.0037,11.3712,118
m,,3,10.6138,12.3174,988,11.4038,7.74063,81
m,,3,6.52841,6.63529,379,6.7786,3.72308,47
m,,3,7.62799,7.72976,623,8.12951,4.74262,45
m,,3,10.1072,10.0435,830,10.8611,7.12913,60
m,,3,9.74712,14.7885,1373,10.4719,6.90384,76
m,,3,8.65618,8.88887,755,9.29737,5.74532,65
m,,3,9.98024,10.2493,945,10.7764,6.92609,58
m,,3,7.26298,7.53275,477,7.68397,4.39341,53
m,,3,9.00907,18.643,2316,9.41852,6.10395,97
m,,3,12.5313,18.7263,1870,13.5106,9.76871,96
m,,3,13.0218,16.9606,1234,13.9739,10.5427,106
m,,3,10.5312,17.5139,1550,11.1987,7.803,94
m,,3,13.9823,24.2419,2486,14.6738,11.129,124
m,,3,17.5461,71.8193,19602,18.4214,16.2639,235
m,,3,14.6747,56.0088,14897,15.3244,12.8548,229
m,,3,18.3808,77.3692,20970,19.2936,17.3011,274
m,,3,12.6135,51.8767,12892,13.1794,10.4883,164
m,,3,8.64436,31.981,7146,8.94601,6.2674,103
m,,3,8.97995,33.7141,7067,9.19459,6.52391,135
m,,3,11.5118,47.4428,10892,11.8861,9.22865,185
m,,3,10.1102,41.8343,8731,10.331,7.72343,129
m,,3,10.1936,42.3746,9193,10.4336,7.83747,150
m,,3,13.053,52.6964,12601,13.5155,10.9364,199
m,,3,9.87356,10.1772,829,10.5873,7.01104,75
m,,3,10.5114,11.7413,926,11.3123,7.63126,68
m,,3,9.28564,10.1562,786,9.90391,6.38262,60
m,,3,10.3719,10.686,957,11.0973,7.41495,58
m,,3,11.923,12.5393,1138,12.8264,9.03246,96
m,,3,17.0434,21.9595,2040,18.2671,15.0131,162
m,,3,10.8538,23.1576,2875,11.3515,8.08016,124
m,,3,9.04495,8.99653,629,9.65236,6.29599,52
m,,3,9.14701,9.54335,738,9.80118,6.27127,55
m,,3,7.41669,8.94869,780,7.79022,4.71011,60
m,,3,6.05647,5.58773,365,6.23468,3.37325,36
m,,3,11.152,12.9541,1094,12.0218,8.4371,76
m,,3,17.4781,21.5636,2113,18.8659,15.5901,140
m,,3,11.0219,17.0546,1894,11.8439,8.11491,88
m,,3,9.88924,10.451,778,10.6041,7.06204,62
m,,3,11.5284,13.746,1201,12.5252,8.70354,77
m,,3,11.9211,23.6104,3471,12.7642,9.47368,99
m,,3,7.37472,18.3937,2170,7.48819,4.66963,73
m,,3,7.55612,20.1656,2577,7.6395,4.71137,91
m,,3,10.6324,15.5024,1588,11.3848,8.08414,75
m,,3,9.11292,11.5167,1029,9.78514,6.25169,75
m,,3,12.319,15.4048,1383,13.2608,9.92414,105
m,,3,10.5191,12.0747,1015,11.3791,7.67678,76
m,,3,9.23788,10.0061,814,9.87368,6.46766,60
m,,3,9.22473,8.98647,635,9.88665,6.27805,61
m,,3,10.4461,31.1169,3903,10.776,7.58197,151
m,,3,10.5121,25.4729,3214,11.0609,7.74847,108
m,,3,19.2409,25.9601,2228,20.744,18.2496,133
m,,3,20.6979,34.4886,4039,22.407,20.6079,186
m,,3,7.02699,9.08527,948,7.3431,4.36341,52
m,,3,11.5932,16.7141,1518,12.4252,9.1585,95
m,,3,8.21541,7.90974,656,8.8035,5.29437,56
m,,3,8.43783,9.19895,684,9.02293,5.60282,61
m,,3,30.2637,46.2417,4227,33.0912,32.857,285
m,,3,14.2012,18.5919,1316,15.3713,11.9064,114
m,,4,10.8424,11.2737,808,11.6377,6.60411,74
m,,4,23.4638,31.5191,2420,25.6917,20.3172,188
m,,4,13.4483,14.5912,1112,14.5213,9.37276,103
m,,4,11.4605,11.221,973,12.3954,7.15393,75
m,,4,10.9487,11.7216,883,11.7341,6.83635,78
m,,4,12.3079,16.138,1546,13.1915,8.24714,85
m,,4,13.5223,14.9941,1140,14.6618,9.22815,86
m,,4,17.6892,21.1936,1743,19.2725,13.8146,160
m,,4,10.6296,11.1891,887,11.3759,6.53966,67
m,,4,14.629,16.6592,1188,15.8169,10.5697,107
m,,4,13.364,15.23,1181,14.4648,9.15629,95
m,,4,9.73243,9.72886,693,10.366,5.68368,60
m,,4,11.3698,12.6907,1024,12.2604,7.3049,88
m,,4,9.56252,9.64614,646,10.149,5.57381,75
m,,4,9.17926,11.5643,917,9.53913,5.19304,81
m,,4,19.7697,28.5005,2738,21.3673,15.8987,152
m,,4,16.5584,18.9369,1464,17.9181,12.5626,106
m,,4,14.3889,14.8344,1176,15.6584,10.2672,88
m,,4,10.0803,13.5899,1390,10.6604,5.86658,84
m,,4,17.226,21.3168,1449,18.2215,12.5137,132
m,,4,12.6636,13.9134,1041,13.7252,8.40388,92
m,,4,9.09023,7.83046,614,9.65547,5.01091,53
m,,4,15.1505,18.2997,1471,16.4665,10.5999,93
m,,4,11.0997,16.7883,1387,11.7031,6.85858,99
m,,4,16.9006,20.2728,1646,18.2854,12.9109,114
m,,4,12.6835,14.4431,1117,13.6738,8.57024,85
m,,4,17.9653,22.6313,1542,19.4867,13.9047,131
m,,4,15.5171,20.5466,1567,16.7704,11.2478,146
m,,4,11.8905,12.8767,988,12.782,7.63535,81
m,,4,7.55341,7.22146,379,7.6808,3.68539,47
m,,4,8.64248,8.19283,623,9.09837,4.71147,56
m,,4,11.2602,10.3784,830,12.1286,7.08748,72
m,,4,10.9323,15.7389,1373,11.6459,6.80057,94
m,,4,9.7484,9.32195,755,10.4153,5.67454,65
m,,4,11.116,10.6265,945,12.0075,6.82211,58
m,,4,8.28658,8.05951,477,8.63314,4.33942,53
m,,4,10.1572,20.1433,2316,10.4805,6.04422,97
m,,4,13.9438,19.677,1870,15.0301,9.63811,131
m,,4,14.5423,17.7132,1234,15.6572,10.4734,106
m,,4,11.8309,18.6601,1550,12.5544,7.73612,106
m,,4,15.6139,25.5812,2486,16.3857,10.9733,124
m,,4,19.5458,76.3808,19602,20.5354,16.3585,245
m,,4,16.3788,59.767,14897,17.0896,12.9258,263
m,,4,20.4774,82.2513,20970,21.481,17.431,274
m,,4,14.0548,55.4865,12892,14.6468,10.4945,164
m,,4,9.78904,34.9633,7146,10.0432,6.37393,103
m,,4,10.1381,36.7221,7067,10.3024,6.62064,155
m,,4,12.8902,51.0069,10892,13.2776,9.33545,185
m,,4,11.3886,45.3216,8731,11.5723,7.80151,139
m,,4,11.4483,45.8063,9193,11.6749,7.9815,191
m,,4,14.5766,56.3927,12601,15.1129,11.2073,219
m,,4,11.045,10.5737,829,11.8539,6.94381,75
m,,4,11.7394,12.2337,926,12.6802,7.6136,86
m,,4,10.428,10.6494,786,11.1022,6.3057,74
m,,4,11.595,11.0736,957,12.4468,7.35733,58
m,,4,13.2678,12.9276,1138,14.3616,8.94399,81
m,,4,19.0052,22.7637,2040,20.5482,15.0979,162
m,,4,12.2112,24.8286,2875,12.7046,7.99419,124
m,,4,10.2525,9.39937,629,10.9503,6.2656,59
m,,4,10.2743,9.97886,738,10.9878,6.20918,75
m,,4,8.5309,9.70147,780,8.8146,4.62883,60
m,,4,7.12719,6.14339,365,7.20761,3.37075,41
m,,4,12.497,13.5174,1094,13.488,8.3795,89
m,,4,19.5089,22.2864,2113,21.2629,15.6679,140
m,,4,12.2851,18.0259,1894,13.1403,7.97344,88
m,,4,11.1284,10.8994,778,11.9659,6.99851,62
m,,4,12.8411,14.322,1201,13.9611,8.57627,95
m,,4,13.4035,25.1924,3471,14.3268,9.39361,133
m,,4,8.56503,20.5854,2170,8.49722,4.69732,93
m,,4,8.7136,22.4354,2577,8.64189,4.77311,91
m,,4,11.9995,16.4641,1588,12.8116,7.99573,76
m,,4,10.2406,12.204,1029,10.8987,6.15004,75
m,,4,13.8165,16.101,1383,14.9447,9.90388,106
m,,4,11.7576,12.6083,1015,12.7206,7.57868,103
m,,4,10.4272,10.5061,814,11.1144,6.41125,72
m,,4,10.3578,9.3338,635,11.1137,6.2091,61
m,,4,11.759,33.5781,3903,12.0669,7.61292,153
m,,4,11.8075,27.3742,3214,12.3456,7.70126,116
m,,4,21.3988,26.903,2228,23.2271,18.5134,192
m,,4,23.1538,36.1252,4039,25.0591,20.7928,207
m,,4,8.118,9.96598,948,8.33278,4.3232,52
m,,4,13.0102,17.6421,1518,13.9467,9.08852,104
m,,4,9.26759,8.28199,656,9.82218,5.18181,56
m,,4,9.51239,9.71311,684,10.1121,5.55729,61
m,,4,33.7569,48.0087,4227,36.9651,33.3848,285
m,,4,15.8781,19.3858,1316,17.2296,11.8326,114
m,,5,11.8195,11.7305,808,12.6017,6.50854,74
m,,5,25.3252,32.3847,2420,27.8017,20.2468,188
m,,5,14.6305,15.0657,1112,15.8196,9.26694,85
m,,5,12.4599,11.5897,973,13.393,7.0231,75
m,,5,11.9713,12.2256,883,12.7266,6.73117,78
m,,5,13.4278,16.8815,1546,14.3137,8.14626,88
m,,5,14.6179,15.4615,1140,15.83,9.10626,86
m,,5,19.1358,21.7885,1743,20.891,13.6539,160
m,,5,11.6371,11.6845,887,12.3441,6.44744,64
m,,5,15.8972,17.1917,1188,17.2222,10.5073,107
m,,5,14.4979,15.7524,1181,15.6991,9.044,86
m,,5,10.7111,10.2099,693,11.2868,5.60004,60
m,,5,12.426,13.2377,1024,13.3201,7.18215,88
m,,5,10.5562,10.1565,646,11.0679,5.50742,77
m,,5,10.1992,12.3994,917,10.4167,5.13239,81
m,,5,21.358,29.4366,2738,23.1388,15.7471,152
m,,5,17.9825,19.4771,1464,19.5147,12.4324,106
m,,5,15.5796,15.2149,1176,17.0034,10.1507,103
m,,5,11.0348,14.3861,1390,11.4749,5.76404,84
m,,5,18.6208,21.953,1449,19.727,12.333,147
m,,5,13.7358,14.391,1041,14.8526,8.29028,95
m,,5,10.041,8.18689,614,10.5075,4.96446,61
m,,5,16.2982,18.8476,1471,17.7062,10.4153,96
m,,5,12.1407,17.7397,1387,12.6734,6.79882,100
m,,5,18.2907,20.8663,1646,19.845,12.8032,114
m,,5,13.8107,14.9874,1117,14.8628,8.44487,96
m,,5,19.4474,23.3161,1542,21.1639,13.7547,136
m,,5,16.7994,21.278,1567,18.1521,11.0792,146
m,,5,12.905,13.3452,988,13.8101,7.51885,81
m,,5,8.56362,7.89716,379,8.54366,3.67147,50
m,,5,9.6028,8.69635,623,9.94452,4.6199,56
m,,5,12.2614,10.6908,830,13.1487,6.9939,72
m,,5,11.9592,16.6203,1373,12.5882,6.69276,94
m,,5,10.6934,9.73958,755,11.3158,5.61331,72
m,,5,12.0811,10.9744,945,12.984,6.7389,61
m,,5,9.25346,8.63293,477,9.43732,4.2969,62
m,,5,11.2148,21.6291,2316,11.3948,6.01366,97
m,,5,15.0849,20.4687,1870,16.1971,9.48942,131
m,,5,15.7945,18.3372,1234,17.0278,10.3657,119
m,,5,12.9085,19.66,1550,13.5963,7.63602,106
m,,5,16.8804,26.6355,2486,17.7047,10.8022,124
m,,5,21.0827,79.9033,19602,22.1528,16.3595,245
m,,5,17.7582,62.8584,14897,18.5341,12.9867,263
m,,5,22.1016,86.0392,20970,23.2033,17.4408,274
m,,5,15.2484,58.5731,12892,15.8614,10.6114,213
m,,5,10.8452,37.9241,7146,10.9677,6.55303,160
m,,5,11.1888,39.6458,7067,11.2346,6.80912,155
m,,5,14.0151,54.0336,10892,14.3788,9.36038,185
m,,5,12.4717,48.4354,8731,12.56,7.87442,139
m,,5,12.5234,48.9072,9193,12.6727,8.1435,191
m,,5,15.8134,59.4763,12601,16.3529,11.2128,219
m,,5,12.0901,10.9514,829,12.8948,6.83017,75
m,,5,12.7738,12.6725,926,13.728,7.48452,86
m,,5,11.4226,11.1164,786,12.0664,6.23455,74
m,,5,12.6295,11.4193,957,13.539,7.29103,81
m,,5,14.3467,13.2444,1138,15.5348,8.82535,81
m,,5,20.5499,23.3659,2040,22.3238,15.0007,162
m,,5,13.3604,26.3053,2875,13.8118,7.95255,124
m,,5,11.2772,9.76577,629,11.938,6.17099,59
m,,5,11.2929,10.4075,738,11.9688,6.13649,75
m,,5,9.5514,10.4715,780,9.68581,4.57313,60
m,,5,8.1729,6.78219,365,8.10832,3.3707,41
m,,5,13.6001,13.9947,1094,14.637,8.29309,89
m,,5,21.1057,22.8146,2113,23.0946,15.5301,140
m,,5,13.3311,18.8731,1894,14.1687,7.8403,88
m,,5,12.1842,11.3027,778,13.0436,6.9122,85
m,,5,13.9075,14.8085,1201,15.0688,8.45323,97
m,,5,14.5832,26.4914,3471,15.5244,9.30958,133
m,,5,9.68427,22.8318,2170,9.38706,4.75679,93
m,,5,9.80115,24.7624,2577,9.49602,4.91409,91
m,,5,13.125,17.2898,1588,13.9358,7.90153,89
m,,5,11.2481,12.8717,1029,11.8129,6.0517,75
m,,5,15.0388,16.6742,1383,16.2555,9.8244,106
m,,5,12.8104,13.0869,1015,13.7976,7.46929,103
m,,5,11.4661,10.9756,814,12.1317,6.33666,72
m,,5,11.3396,9.66268,635,12.0639,6.09732,61
m,,5,12.8764,35.7763,3903,13.0687,7.61847,153
m,,5,12.9097,29.0742,3214,13.3794,7.62357,116
m,,5,23.2064,27.645,2228,25.3104,18.5154,192
m,,5,25.1431,37.3966,4039,27.2264,20.7377,207
m,,5,9.17321,10.923,948,9.21477,4.34043,69
m,,5,14.2075,18.4493,1518,15.203,9.00258,117
m,,5,10.2297,8.66752,656,10.7059,5.13901,61
m,,5,10.4573,10.2184,684,10.9918,5.50702,61
m,,5,36.4176,49.2409,4227,39.97,33.5298,285
m,,5,17.2119,20.0097,1316,18.7226,11.7191,120
m,,6,12.769,12.2225,808,13.4596,6.39565,74
m,,6,26.9345,33.1135,2420,29.6327,20.0928,196
m,,6,15.6817,15.5087,1112,16.9191,9.15825,98
m,,6,13.3753,11.964,973,14.252,6.92787,85
m,,6,12.9236,12.7411,883,13.5769,6.64141,78
m,,6,14.4438,17.5996,1546,15.27,8.02517,102
m,,6,15.6122,15.9129,1140,16.8431,8.96452,91
m,,6,20.3649,22.2965,1743,22.2545,13.4937,160
m,,6,12.5809,12.1978,887,13.1872,6.35915,76
m,,6,16.9545,17.6519,1188,18.3428,10.3684,107
m,,6,15.4974,16.2407,1181,16.7066,8.87516,86
m,,6,11.6716,10.7408,693,12.1106,5.51056,72
m,,6,13.3971,13.7839,1024,14.2343,7.07383,88
m,,6,11.5188,10.7122,646,11.8931,5.4337,77
m,,6,11.2046,13.3131,917,11.2379,5.10142,81
m,,6,22.7351,30.2497,2738,24.668,15.5531,152
m,,6,19.1716,19.9312,1464,20.8368,12.3007,106
m,,6,16.6162,15.5606,1176,18.1034,9.99051,103
m,,6,11.9901,15.2658,1390,12.2544,5.67039,84
m,,6,19.7735,22.4876,1449,20.9376,12.1021,132
m,,6,14.7012,14.8533,1041,15.8199,8.15432,102
m,,6,10.9761,8.59477,614,11.3121,4.93447,72
m,,6,17.3276,19.3625,1471,18.7559,10.2813,140
m,,6,13.1206,18.7062,1387,13.5047,6.77117,145
m,,6,19.4905,21.3851,1646,21.1621,12.6502,119
m,,6,14.7929,15.4934,1117,15.83,8.36257,98
m,,6,20.7066,23.9007,1542,22.5154,13.5358,136
m,,6,17.8989,21.9262,1567,19.289,10.8947,146
m,,6,13.8707,13.8305,988,14.7408,7.41572,81
m,,6,9.59648,8.70018,379,9.37247,3.61803,50
m,,6,10.5377,9.26339,623,10.7577,4.63658,62
m,,6,13.2041,11.0181,830,14.063,6.9338,72
